midpoint	start	stop	h1	h12	h123	h2_h1
10393	9526	14975	0.07904177295918367	0.12304687499999999	0.17327008928571427	0.46646495209278876
16220	14976	17365	0.09375000000000001	0.16119260204081634	0.23066804846938777	0.5303996598639457
18320	17367	19277	0.2425462372448979	0.31931600765306123	0.3791055484693878	0.059244042728019426
20566	19278	21402	0.164859693877551	0.2739158163265306	0.40784438775510196	0.3017408123791101
22184	21406	22831	0.07158801020408163	0.11631058673469385	0.16972257653061223	0.678173719376392
23749	22843	24545	0.08231026785714286	0.12440210459183673	0.18299585459183673	0.44213075060532697
25556	24546	26330	0.24150988520408165	0.2969547193877551	0.3543526785714286	0.05520712988942067
27113	26332	27921	0.11387914540816324	0.17223373724489793	0.24677136479591832	0.3487924396219811
28845	27924	29543	0.08422353316326528	0.12806919642857145	0.17972735969387754	0.40842404164694723
30231	29544	31085	0.09084024234693876	0.15182557397959184	0.2002551020408163	0.42935498025449753
31990	31088	32754	0.0601482780612245	0.08948501275510204	0.13771524234693877	0.6607024519549372
33417	32756	34280	0.06094547193877552	0.08438297193877553	0.1234454719387755	0.7436232831916285
35004	34295	35904	0.06991390306122446	0.12276785714285711	0.16059470663265304	0.566419612314709
36639	35905	38161	0.13301179846938774	0.2107382015306123	0.31676498724489804	0.36694635900509415
39066	38180	39790	0.12077487244897958	0.22217793367346933	0.29464285714285715	0.5364686468646864
41010	39798	41738	0.07003348214285715	0.10686383928571426	0.15090880102040813	0.44906089926010256
42479	41741	43223	0.051817602040816334	0.07932079081632652	0.115234375	0.653846153846154
44016	43231	44759	0.18459024234693877	0.23278061224489802	0.2665816326530613	0.06618440941481306
45514	44761	46191	0.04284917091836736	0.06210140306122448	0.08840880102040816	0.7539534883720932
48120	46200	48830	0.09701849489795916	0.16936383928571427	0.21145567602040816	0.3785949055053409
49528	48834	50138	0.03718909438775511	0.05297353316326529	0.07529496173469388	0.7406216505894964
50933	50139	51560	0.08609693877551018	0.14349489795918366	0.20878507653061223	0.46666666666666656
